,address,issue_reported,location_latitude,location_longitude,published_date
68,0 S Ih 35 Sb To Ben White Ramp,Traffic Hazard,30.217427,-97.751952,2018-01-23
70,9221-9423 W Parmer Ln,Traffic Hazard,30.479402,-97.766233,2017-12-15
71,10100 S Ih 35 Nb,Traffic Hazard,30.153569,-97.791287,2017-12-15
72,6800-7525 Daffan Ln,COLLISION,30.319609,-97.625939,2017-12-15
73,3626-3641 N Fm 620 Rd,COLLISION,30.397588,-97.928142,2017-12-15
74,Brodie Ln & W Us 290 Hwy Svrd Eb,COLLISN/ LVNG SCN,30.232638,-97.818416,2017-12-15
75,Links Ln & Gattis School Rd,COLLISION,30.497179,-97.600287,2017-12-15
76,Lake Creek Pkwy & N Us 183 Hwy Svrd Nb,Traffic Hazard,30.461425,-97.793557,2017-12-15
77,5400 N Mopac Expy Sb,Traffic Hazard,30.334109,-97.755853,2017-12-15
78,5900 N Ih 35 Sb,Traffic Hazard,30.321069,-97.707077,2017-12-15
79,W Us 290 Hwy & Scenic Brook Dr,TRFC HAZD/ DEBRIS,30.232239,-97.901849,2017-12-15
80,14000-14237 Fitzhugh Rd,COLLISION,30.242683,-98.010475,2017-12-15
81,2504-3046 W Parmer Ln,Traffic Hazard,30.419324,-97.702578,2017-12-01
82,3900 N Mopac Expy Nb,Traffic Hazard,30.313207,-97.756612,2017-12-01
83,0 E 290 WB TO ANDERSON WB RAMP,Crash Urgent,30.326476,-97.673088,2017-12-01
84,1511 E 6th St,Crash Service,30.263146,-97.726779,2017-12-01
85,E Ben White Blvd Svrd Eb & Burleson Rd To Station,Traffic Hazard,30.213286,-97.723268,2017-12-01
86,S Sh 130 Svrd Sb & S Us 183 Hwy Nb,COLLISION,30.082358,-97.691962,2017-12-01
87,11300 N Ih 35 Nb,Crash Service,30.378395,-97.675163,2017-12-01
88,Burnet Rd & Shoreline Dr,TRFC HAZD/ DEBRIS,30.46065,-97.694703,2017-12-01
89,N Mopac Sb To Cesar Ch Eb Ramp & W Cesar Chavez St,Traffic Impediment,30.275642,-97.767780,2017-10-13
90,2241 S Ih 35 Svrd Nb,Crash Service,30.233752,-97.740365,2017-10-18
91,S Lexington St & E Brenham St,TRFC HAZD/ DEBRIS,30.3376637,-97.5584922,2017-09-28
92,12120 Manchaca Rd,TRFC HAZD/ DEBRIS,30.141991,-97.832953,2017-10-16
93,11600-12225 FM 969 RD,COLLISION,30.2569113,-97.6116119,2017-09-30
94,21200-blk FM 1431 RD,COLLISION,30.485034,-97.976409,2017-10-14
95,3000-3010 Perry Ln,Traffic Impediment,30.3242546,-97.7542368,2017-10-09
96,4400-4708 E Ben White Blvd Wb,Traffic Hazard,30.215463,-97.7349646,2017-09-27
97,W Rundberg Ln & N Lamar Blvd,Crash Service,30.3631457,-97.6970285,2017-10-06
98,6317 E Ben White Blvd Svrd Eb,Crash Service,30.2118617,-97.7117034,2017-10-03
99,N Fm 620 Rd & Comanche Trl,COLLISION WITH INJURY,30.3943497,-97.8691306,2017-09-26
100,10200 S Ih 35 Sb,Traffic Hazard,30.1532196,-97.791965,2017-10-01
101,E Us 290 Hwy Svrd Eb & Ed Bluestein Blvd Svrd Nb,Crash Urgent,30.3252061,-97.6720748,2017-09-30
102,8600-8819 S 1ST ST,Traffic Impediment,30.174380,-97.798900,2017-10-13
103,6900 N Fm 620 Rd,Crash Urgent,30.4023614,-97.8548259,2017-10-03
104,5606-6222 E Ben White Blvd Wb,Traffic Hazard,30.212378,-97.711810,2017-10-14
105,14230-14276 FM 2769 RD,TRFC HAZD/ DEBRIS,30.4383948,-97.8827051,2017-09-30
106,11800 Dessau Rd,Crash Service,30.377284,-97.658729,2017-10-13
107,7200 E Ben White Blvd Eb,Traffic Impediment,30.215557,-97.698939,2017-10-16
108,14834-14940 N IH 35 SVRD SB,Crash Urgent,30.4416986,-97.6689582,2017-10-05
109,2300 Parker Ln,Traffic Hazard,30.232315,-97.736888,2017-10-13
110,1016 Camino La Costa,Crash Service,30.3257808,-97.7015295,2017-10-10
111,5900-6500 N MOPAC EXPY NB,Traffic Hazard,30.340460,-97.753546,2017-10-13
112,Hog Eye Rd & Decker Ln,zSTALLED VEHICLE,30.286226,-97.631192,2017-10-13
113,S Ih 35 Svrd Sb & E Stassney Ln,Traffic Impediment,30.1986937,-97.7644953,2017-09-28
114,933 S Mopac Expy Nb,Traffic Hazard,30.2656971,-97.782255,2017-09-29
